epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1338.63,1.21911,0.71432,1.5599,0.97333,0.97632,0.98596,0.53712,1.61833,0.56746,2.22186,0.000990365,0.000990365,0.000990365
43,1370.67,1.22187,0.7061,1.55741,0.97786,0.97325,0.98723,0.55334,1.58923,0.5502,2.1826,0.000973861,0.000973861,0.000973861
44,1402.67,1.22871,0.69993,1.57019,0.97775,0.96186,0.98549,0.54951,1.57841,0.54865,2.1784,0.000957358,0.000957358,0.000957358
45,1434.54,1.23126,0.70841,1.56268,0.98277,0.9803,0.98702,0.54924,1.60385,0.53172,2.20811,0.000940855,0.000940855,0.000940855
46,1466.36,1.21683,0.70387,1.56043,0.97662,0.97727,0.98512,0.54717,1.60054,0.54218,2.18877,0.000924352,0.000924352,0.000924352
47,1498.25,1.21497,0.68055,1.55123,0.98263,0.97641,0.98868,0.5544,1.59756,0.53963,2.19757,0.000907848,0.000907848,0.000907848
48,1530.11,1.22626,0.68494,1.55774,0.97292,0.97984,0.98578,0.55967,1.59475,0.53123,2.1734,0.000891345,0.000891345,0.000891345
49,1562.04,1.19929,0.69062,1.54377,0.96281,0.98008,0.9871,0.55274,1.62818,0.54496,2.20663,0.000874842,0.000874842,0.000874842
50,1593.86,1.20041,0.67017,1.54513,0.98323,0.97177,0.98505,0.54183,1.60879,0.53867,2.1982,0.000858338,0.000858338,0.000858338
51,1625.64,1.18767,0.6742,1.54057,0.97574,0.98428,0.98715,0.5574,1.61779,0.55322,2.18804,0.000841835,0.000841835,0.000841835
52,1657.51,1.18612,0.67847,1.53095,0.97374,0.97795,0.98502,0.56455,1.59713,0.5347,2.20344,0.000825332,0.000825332,0.000825332
53,1689.41,1.18723,0.65871,1.53484,0.97515,0.97266,0.98374,0.5449,1.61286,0.55128,2.23513,0.000808828,0.000808828,0.000808828
54,1721.21,1.17349,0.65569,1.53216,0.98603,0.96995,0.98924,0.55768,1.58042,0.53787,2.19609,0.000792325,0.000792325,0.000792325
55,1752.86,1.15889,0.65475,1.51475,0.97724,0.97192,0.98223,0.55174,1.59606,0.56126,2.19988,0.000775822,0.000775822,0.000775822
56,1784.63,1.16417,0.64199,1.52115,0.97749,0.98298,0.98239,0.54409,1.61491,0.53699,2.1892,0.000759318,0.000759318,0.000759318
57,1816.53,1.15253,0.64844,1.50942,0.98314,0.97795,0.98486,0.55753,1.59348,0.53659,2.20343,0.000742815,0.000742815,0.000742815
58,1848.24,1.16317,0.65699,1.51304,0.98565,0.98112,0.98334,0.5413,1.58524,0.52818,2.21283,0.000726312,0.000726312,0.000726312
59,1880.16,1.16257,0.65488,1.52026,0.97541,0.98346,0.98389,0.54635,1.59943,0.53532,2.19272,0.000709809,0.000709809,0.000709809
60,1912.02,1.14022,0.6491,1.49822,0.97167,0.9756,0.98187,0.53525,1.64541,0.5467,2.24291,0.000693305,0.000693305,0.000693305
61,1943.85,1.13221,0.63732,1.49607,0.975,0.97407,0.97958,0.54704,1.6213,0.56328,2.23695,0.000676802,0.000676802,0.000676802
62,1975.7,1.13776,0.63707,1.49772,0.97945,0.97625,0.98026,0.54785,1.6055,0.53544,2.22341,0.000660299,0.000660299,0.000660299
63,2007.64,1.14373,0.63421,1.50216,0.96429,0.96735,0.98504,0.53207,1.63265,0.56791,2.26563,0.000643795,0.000643795,0.000643795
64,2039.44,1.12204,0.63304,1.48994,0.97736,0.97601,0.98778,0.54957,1.61047,0.54894,2.21701,0.000627292,0.000627292,0.000627292
65,2071.14,1.12287,0.61814,1.49319,0.97762,0.96944,0.98612,0.54531,1.60384,0.54652,2.24773,0.000610789,0.000610789,0.000610789
66,2103.01,1.11331,0.61564,1.48587,0.96862,0.97649,0.9868,0.53853,1.59281,0.55256,2.20734,0.000594286,0.000594286,0.000594286
67,2134.75,1.10511,0.61341,1.47125,0.97672,0.97608,0.98259,0.55327,1.6081,0.54038,2.24725,0.000577782,0.000577782,0.000577782
68,2166.51,1.10536,0.60322,1.47824,0.97352,0.9761,0.98479,0.55645,1.59091,0.54136,2.23403,0.000561279,0.000561279,0.000561279
69,2198.37,1.08992,0.60661,1.47082,0.97557,0.98112,0.98308,0.54845,1.61541,0.52617,2.2297,0.000544776,0.000544776,0.000544776
70,2230.14,1.09892,0.61505,1.4756,0.97449,0.97244,0.97916,0.53781,1.60635,0.53668,2.23549,0.000528272,0.000528272,0.000528272
71,2261.76,1.08257,0.60139,1.45559,0.98441,0.97838,0.98441,0.54183,1.61366,0.53521,2.26157,0.000511769,0.000511769,0.000511769
72,2293.55,1.08328,0.60357,1.45808,0.98504,0.97244,0.98326,0.54322,1.62223,0.53614,2.2612,0.000495266,0.000495266,0.000495266
73,2325.31,1.07474,0.60145,1.46451,0.97992,0.97795,0.98649,0.55608,1.6051,0.52582,2.2501,0.000478762,0.000478762,0.000478762
74,2357.16,1.06301,0.59169,1.45542,0.98451,0.97269,0.98723,0.54857,1.60005,0.53216,2.26024,0.000462259,0.000462259,0.000462259
75,2388.9,1.07159,0.59448,1.45724,0.96544,0.97191,0.98058,0.54297,1.61693,0.54984,2.28365,0.000445756,0.000445756,0.000445756
76,2420.68,1.03958,0.57765,1.43836,0.97297,0.98322,0.9862,0.54774,1.60713,0.54064,2.28947,0.000429253,0.000429253,0.000429253
77,2452.33,1.05416,0.58835,1.44495,0.97972,0.98112,0.98142,0.53981,1.62963,0.53886,2.29519,0.000412749,0.000412749,0.000412749
78,2484.08,1.04928,0.57688,1.43567,0.9722,0.97663,0.98788,0.55203,1.61168,0.54071,2.27924,0.000396246,0.000396246,0.000396246
79,2515.82,1.0415,0.57139,1.42655,0.96882,0.97556,0.98716,0.54621,1.60746,0.54403,2.26072,0.000379743,0.000379743,0.000379743
80,2547.44,1.03454,0.56751,1.42844,0.97248,0.98428,0.9831,0.54446,1.61211,0.53619,2.26558,0.000363239,0.000363239,0.000363239
81,2579.04,1.03375,0.58852,1.43097,0.97564,0.974,0.98597,0.54389,1.61553,0.54622,2.25911,0.000346736,0.000346736,0.000346736
82,2610.63,1.01724,0.5582,1.40352,0.98073,0.97074,0.98259,0.54552,1.60483,0.52556,2.28459,0.000330233,0.000330233,0.000330233
83,2642.38,1.01971,0.559,1.41915,0.97382,0.98195,0.98887,0.55613,1.59732,0.53265,2.26235,0.000313729,0.000313729,0.000313729
84,2674.09,1.02144,0.56484,1.4104,0.97812,0.98368,0.98585,0.53836,1.6015,0.52213,2.2598,0.000297226,0.000297226,0.000297226
85,2705.7,0.99985,0.56062,1.40172,0.98288,0.9803,0.98781,0.54452,1.60148,0.52841,2.29673,0.000280723,0.000280723,0.000280723
86,2737.51,0.99856,0.56041,1.40239,0.97281,0.98158,0.98166,0.53897,1.59345,0.53604,2.28992,0.00026422,0.00026422,0.00026422
87,2769.11,0.99895,0.55416,1.40678,0.9744,0.98476,0.98603,0.54201,1.60365,0.53361,2.28552,0.000247716,0.000247716,0.000247716
88,2800.78,0.98784,0.54503,1.39096,0.97411,0.98368,0.98502,0.53128,1.62338,0.53159,2.3261,0.000231213,0.000231213,0.000231213
89,2832.37,0.99448,0.54137,1.39991,0.98119,0.98423,0.98307,0.54121,1.61067,0.52262,2.30435,0.00021471,0.00021471,0.00021471
90,2863.98,0.99145,0.54347,1.39531,0.98266,0.98193,0.98093,0.53562,1.61046,0.54144,2.2922,0.000198206,0.000198206,0.000198206
91,2896.97,0.94212,0.39924,1.59387,0.97647,0.97593,0.98335,0.52282,1.6067,0.54582,2.30387,0.000181703,0.000181703,0.000181703
92,2928.61,0.90489,0.373,1.54036,0.98218,0.97574,0.98463,0.52615,1.62608,0.53824,2.33554,0.0001652,0.0001652,0.0001652
93,2960.2,0.88153,0.36758,1.53106,0.97797,0.97832,0.98368,0.52749,1.61581,0.533,2.35188,0.000148696,0.000148696,0.000148696
94,2991.67,0.87599,0.35949,1.51851,0.97865,0.97511,0.98149,0.52902,1.61943,0.5473,2.35365,0.000132193,0.000132193,0.000132193
95,3023.16,0.86887,0.35671,1.51179,0.98256,0.97327,0.98196,0.52939,1.6215,0.54011,2.36096,0.00011569,0.00011569,0.00011569
96,3054.79,0.86378,0.35524,1.51151,0.9766,0.97988,0.98171,0.52304,1.62933,0.54673,2.37672,9.91865e-05,9.91865e-05,9.91865e-05
97,3086.32,0.85401,0.35273,1.49393,0.98429,0.9756,0.98104,0.51853,1.63873,0.5424,2.38661,8.26832e-05,8.26832e-05,8.26832e-05
98,3118.03,0.85001,0.35121,1.48917,0.98541,0.97536,0.98195,0.52307,1.63533,0.53987,2.39711,6.61799e-05,6.61799e-05,6.61799e-05
99,3149.69,0.84338,0.34914,1.48405,0.98447,0.97734,0.98215,0.52691,1.63551,0.53543,2.39623,4.96766e-05,4.96766e-05,4.96766e-05
100,3181.32,0.82189,0.34227,1.46222,0.98332,0.97539,0.98234,0.52396,1.63643,0.54168,2.40209,3.31733e-05,3.31733e-05,3.31733e-05
